[0]	train-auc:0.86300	valid-auc:0.76818
[5]	train-auc:0.92863	valid-auc:0.80606
[10]	train-auc:0.95002	valid-auc:0.81558
[15]	train-auc:0.96558	valid-auc:0.81680
[20]	train-auc:0.97316	valid-auc:0.81775
[25]	train-auc:0.98174	valid-auc:0.81878
[30]	train-auc:0.98772	valid-auc:0.81787
[35]	train-auc:0.99180	valid-auc:0.81510
[40]	train-auc:0.99456	valid-auc:0.81387
[45]	train-auc:0.99596	valid-auc:0.81462
[50]	train-auc:0.99688	valid-auc:0.81128
[55]	train-auc:0.99787	valid-auc:0.80874
[60]	train-auc:0.99889	valid-auc:0.80801
[65]	train-auc:0.99919	valid-auc:0.80751
[70]	train-auc:0.99944	valid-auc:0.80732
[75]	train-auc:0.99964	valid-auc:0.80692
[80]	train-auc:0.99985	valid-auc:0.80677
[85]	train-auc:0.99986	valid-auc:0.80671
[90]	train-auc:0.99992	valid-auc:0.80637
[95]	train-auc:0.99996	valid-auc:0.80580
[99]	train-auc:0.99998	valid-auc:0.80546
